Strategy,CAGR,Vol,Sharpe,Sortino,MaxDD,Calmar
Buy & hold SPY,0.1503430411116624,0.20744338939340548,0.7793245520156843,0.957936025967222,-0.3371726149351544,0.4458933924410695
L0  JM binary (mandate),0.0645433859121416,0.10397821883240986,0.6538508932754119,0.611470679280318,-0.1760005265855592,0.36672268637085637
L2  JM + cash yield,0.07518184126749672,0.10395720010705849,0.7496429948408398,0.7006663786491892,-0.17318861382146744,0.43410383401415975
L1  JM + vol-target,0.059077574555162604,0.0823712059744861,0.7381845662715534,0.7243865216923213,-0.11213216651680347,0.526856622772107
L1+L2  JM + vt + cash,0.07235821140150733,0.08234418979099138,0.8897772280121832,0.8725749385007311,-0.10582897898935784,0.6837277661800335
L3  QQQ regime (binary),0.1667373280289497,0.15915951385225421,1.0490291736550132,1.151093955884339,-0.17494072702078345,0.9531075517317408
L3  multi-asset basket (binary),0.057913106643858514,0.08040970346547888,0.740491971819186,0.885477698036767,-0.096893547803786,0.5976982777133445
L3+L2  basket + cash,0.0714084391108818,0.08040045552349544,0.8982665336186315,1.0673372271514892,-0.08815358124328554,0.8100458098668659
FULL  basket + vt + cash,0.0475334127697431,0.052195236923002625,0.9159172580627757,1.02735304420937,-0.05598687883183595,0.8490098709112904
FULL  basket best (vt10_cap1.0),0.0475334127697431,0.052195236923002625,0.9159172580627757,1.02735304420937,-0.05598687883183595,0.8490098709112904
